id,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,reviews_per_month,neighbourhood_cleansed,latitude,longitude
1036372935193689020,,Entire rental unit,Entire home/apt,226,45,within an hour,100,0,,,Élysée,48.86905,2.3071
1035435731517537689,,Room in hotel,Private room,124,6,within an hour,100,0,,,Élysée,48.8769204,2.3069132
1035435824192866875,,Room in hotel,Private room,134,6,within an hour,100,1,5.0,0.75,Élysée,48.8769204,2.3069132
1035435827057753930,,Room in hotel,Private room,133,6,within an hour,100,0,,,Élysée,48.8769204,2.3069132
1035435925777486610,,Room in hotel,Private room,135,6,within an hour,100,0,,,Élysée,48.87692,2.30691
1035435926550603691,,Room in hotel,Private room,138,6,within an hour,100,0,,,Élysée,48.8769204,2.3069132
1035436029685290731,,Room in hotel,Private room,120,6,within an hour,100,0,,,Élysée,48.8769204,2.3069132
1036769097515599836,,Entire rental unit,Entire home/apt,304,1,within an hour,100,35,4.89,1.68,Élysée,48.8677436,2.307299
1035494887098421006,,Entire rental unit,Entire home/apt,14,73,,,26,4.5,1.25,Élysée,48.87206,2.31456
1035260608676609758,,Entire rental unit,Entire home/apt,268,113,within a day,75,0,,,Élysée,48.8715362,2.3078916
1038293185528734950,,Entire rental unit,Entire home/apt,0,1,,,3,5.0,0.18,Élysée,48.8781044,2.3195019
1036026734293910313,,Entire rental unit,Entire home/apt,139,1,within a day,100,1,5.0,0.07,Élysée,48.86654601750469,2.3089229688048363
1036027015239575544,,Entire rental unit,Entire home/apt,215,68,within an hour,99,6,4.67,0.35,Élysée,48.8695202,2.3037196
1039067948234576204,,Entire rental unit,Entire home/apt,302,2,within an hour,100,123,4.8,6.86,Élysée,48.87004859855639,2.3053706344582263
1038439029696376389,,Entire rental unit,Entire home/apt,0,2,within an hour,100,15,4.87,1.0,Élysée,48.87121,2.30473
1039135363214852772,,Entire rental unit,Entire home/apt,307,2,within an hour,100,139,4.83,7.35,Élysée,48.87225824367289,2.304116712921473
1039257971213108347,,Entire rental unit,Entire home/apt,105,1,a few days or more,0,8,4.13,0.52,Élysée,48.8728355,2.3022865
1039775872829879220,,Entire rental unit,Entire home/apt,263,1,,,0,,,Élysée,48.87546,2.30336
1041402778528095277,,Entire rental unit,Entire home/apt,0,23,within an hour,100,0,,,Élysée,48.87318544679823,2.3188471920654186
1041419403124899430,,Entire rental unit,Entire home/apt,255,1,within a day,60,15,4.67,0.85,Élysée,48.86706,2.30282
1039842969340429933,,Private room in bed and breakfast,Private room,34,4,within an hour,100,48,4.83,2.36,Élysée,48.86713,2.30599
1039849322865945351,,Private room in bed and breakfast,Private room,33,4,within an hour,100,54,4.91,2.69,Élysée,48.86702263869121,2.307744328799594
1041777551138643116,,Entire rental unit,Entire home/apt,297,184,within an hour,100,23,4.87,1.46,Élysée,48.8777907,2.3088683
1041838202927751172,,Entire rental unit,Entire home/apt,358,1,,,0,,,Élysée,48.87194,2.32609
1043470265526890636,,Entire rental unit,Entire home/apt,0,2,,,74,4.89,3.62,Élysée,48.8783519,2.3010424
1044778922265736646,,Entire rental unit,Entire home/apt,156,1,within an hour,100,39,4.77,1.89,Élysée,48.87480061758889,2.326024005830837
1046876062059542149,,Entire rental unit,Entire home/apt,0,18,within an hour,100,6,5.0,0.44,Élysée,48.8726502,2.3210219
1045629978683232981,,Entire rental unit,Entire home/apt,0,1,,,0,,,Élysée,48.87470268080112,2.299541423696094
1045414852365658871,,Entire rental unit,Entire home/apt,352,45,within an hour,94,0,,,Élysée,48.88054,2.31059
1046998637855388513,,Entire rental unit,Entire home/apt,326,191,within an hour,99,57,4.68,2.75,Élysée,48.8749161,2.3159379
1047061871850465132,,Entire rental unit,Entire home/apt,363,370,within an hour,100,1,3.0,0.07,Élysée,48.869,2.299
1046176578472570763,,Entire rental unit,Entire home/apt,324,113,within a day,75,3,4.33,0.33,Élysée,48.8764001,2.3030889
1048573595137799419,,Entire rental unit,Entire home/apt,226,7,within an hour,100,7,4.71,0.39,Élysée,48.87325,2.30339
1048409752241799525,,Entire rental unit,Entire home/apt,288,5,within an hour,95,131,4.74,6.24,Élysée,48.8822381,2.3249817
1049366126590276267,,Entire rental unit,Entire home/apt,173,25,within a day,64,0,,,Élysée,48.87421,2.30489
1049833261720974389,,Entire rental unit,Entire home/apt,356,191,within an hour,99,49,4.82,2.42,Élysée,48.8729598,2.3263835
1049259275902344573,,Entire rental unit,Entire home/apt,148,1,within a day,70,2,4.5,0.12,Élysée,48.87456395466986,2.3129479983648267
1052202590499595067,,Entire rental unit,Entire home/apt,293,6,within an hour,99,111,4.84,5.4,Élysée,48.8701089,2.3029906
1049962009408778758,,Entire rental unit,Entire home/apt,0,1,,,0,,,Élysée,48.87987953047484,2.3223540534777256
1051310623609923800,,Entire rental unit,Entire home/apt,308,5,within an hour,100,47,4.94,2.64,Élysée,48.870183498846735,2.3043373120314885
1052704096731889488,,Entire rental unit,Entire home/apt,0,2,within a few hours,60,4,4.75,0.28,Élysée,48.86846,2.32161
1050509062942906341,,Entire rental unit,Entire home/apt,232,69,within an hour,95,4,5.0,0.27,Élysée,48.88276,2.32491
1054173138786710095,,Entire rental unit,Entire home/apt,8,1,within a few hours,100,14,5.0,0.75,Élysée,48.870145,2.3108041
1054350979456328754,,Entire rental unit,Entire home/apt,168,1,a few days or more,0,11,4.82,0.57,Élysée,48.8715362,2.3078916
1055730682132915508,,Entire rental unit,Entire home/apt,269,1,a few days or more,0,0,,,Élysée,48.8804573,2.3185511
1055735288428953585,,Entire rental unit,Entire home/apt,263,1,,,0,,,Élysée,48.87996,2.32122
1054536939530012956,,Private room in rental unit,Private room,318,2,within an hour,100,42,4.98,2.18,Élysée,48.87289,2.30934
1055868582318336137,,Entire rental unit,Entire home/apt,263,1,,,0,,,Élysée,48.8806226,2.3179901
